Campaign performance
"March 1, 2026 - March 31, 2026 compared to February 1, 2026 - February 28, 2026"
Campaign,Campaign state,Campaign type,Clicks,Clicks (Compare to),Clicks (Change),Clicks (Change %),Impr.,Impr. (Compare to),Impr. (Change),Impr. (Change %),CTR,CTR (Compare to),CTR (Change),CTR (Change %),Currency code,Avg. CPC,Avg. CPC (Compare to),Avg. CPC (Change),Avg. CPC (Change %),Cost,Cost (Compare to),Cost (Change),Cost (Change %),Impr. (Abs. Top) %,Impr. (Abs. Top) % (Compare to),Impr. (Abs. Top) % (Change),Impr. (Abs. Top) % (Change %),Impr. (Top) %,Impr. (Top) % (Compare to),Impr. (Top) % (Change),Impr. (Top) % (Change %),Conversions,Conversions (Compare to),Conversions (Change),Conversions (Change %),View-through conv.,View-through conv. (Compare to),View-through conv. (Change),View-through conv. (Change %),Cost / conv.,Cost / conv. (Compare to),Cost / conv. (Change),Cost / conv. (Change %),Conv. rate,Conv. rate (Compare to),Conv. rate (Change),Conv. rate (Change %)
Sales | Max Conversion | Search | MLY,Enabled,Search,79,83,-4,-4.82%,"1,135","1,278",-143,-11.19%,6.96%,6.49%,0.47%, +7.17%,IDR,10641.69,12126.98,-1485.29,-12.25%,840693.75,1006539.59,-165845.84,-16.48%,31.40%,30.80%,0.60%, +1.95%,79.73%,78.05%,1.68%, +2.16%,2.00,0.00,2.00, +∞,0,0,0,0.00%,420346.87,0,420346.87, +∞,2.53%,0.00%,2.53%, +∞
Sales | Max Conversion | Search | SG,Enabled,Search,64,84,-20,-23.81%,953,"1,653",-700,-42.35%,6.72%,5.08%,1.63%, +32.15%,IDR,12500.04,16025.86,-3525.82,-22.00%,800002.85,1346172.53,-546169.69,-40.57%,28.67%,23.01%,5.66%, +24.60%,74.29%,65.70%,8.59%, +13.08%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,0.00%,0.00%,0.00%,0.00%
